ensembl_id	gene_symbol	gene_biotype	comparison	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant	significant_strict
ENSG00000205339	IPO7	protein_coding	MGS2_vs_MGS1	2886.5938159893917	-0.17101367267235526	0.04279154159018598	-3.9964363590858896	6.430315810701934e-05	0.02299110451519168	True	False
ENSG00000206562	METTL6	protein_coding	MGS2_vs_MGS1	192.80447824166893	-0.10972961204786162	0.025678725640877326	-4.273172025062871	1.9271166375772696e-05	0.02299110451519168	True	False
ENSG00000148399	DPH7	protein_coding	MGS2_vs_MGS1	433.58138758601314	0.23023915940011846	0.05337320667716837	4.313759163708045	1.6050178857848627e-05	0.02299110451519168	True	False
ENSG00000142166	IFNAR1	protein_coding	MGS2_vs_MGS1	1126.4396834050262	-0.15625142519286767	0.035841374601457546	-4.359526578718704	1.3034412266589423e-05	0.02299110451519168	True	False
ENSG00000138768	USO1	protein_coding	MGS2_vs_MGS1	1531.1305084300166	-0.14965644871272551	0.03673101006348744	-4.074389690184205	4.613517430843973e-05	0.02299110451519168	True	False
ENSG00000162441	LZIC	protein_coding	MGS2_vs_MGS1	377.289475803542	-0.138620522401094	0.03400230015368065	-4.0767983864200055	4.566005059634984e-05	0.02299110451519168	True	False
ENSG00000198924	DCLRE1A	protein_coding	MGS2_vs_MGS1	335.50865117344006	-0.1638541273639229	0.04008958382417741	-4.087199510040935	4.3661163325922706e-05	0.02299110451519168	True	False
ENSG00000067445	TRO	protein_coding	MGS2_vs_MGS1	329.59393005301104	0.174500791558434	0.043488892042758534	4.012537072383076	6.006964159529181e-05	0.02299110451519168	True	False
ENSG00000184992	BRI3BP	protein_coding	MGS2_vs_MGS1	651.6975239177444	-0.14360572181068695	0.0346888615734774	-4.139822274262405	3.475749956013563e-05	0.02299110451519168	True	False
ENSG00000164941	INTS8	protein_coding	MGS2_vs_MGS1	576.5897279465629	-0.1703725580242592	0.04263606518124235	-3.995972829575612	6.442912366645827e-05	0.02299110451519168	True	False
ENSG00000096401	CDC5L	protein_coding	MGS2_vs_MGS1	809.0446935266659	-0.13812278628761565	0.03446722276164531	-4.007366280793501	6.139960348884099e-05	0.02299110451519168	True	False
ENSG00000165650	PDZD8	protein_coding	MGS2_vs_MGS1	1516.4525096884581	-0.16905846410498085	0.04107947116033497	-4.11540020671489	3.86508196456723e-05	0.02299110451519168	True	False
ENSG00000196715	VKORC1L1	protein_coding	MGS2_vs_MGS1	645.3165529581713	-0.12810592299040982	0.030865191519735213	-4.150498237099836	3.3175232363985454e-05	0.02299110451519168	True	False
ENSG00000087095	NLK	protein_coding	MGS2_vs_MGS1	2998.816602650224	-0.13738887302784503	0.03444226117704382	-3.9889620580258645	6.636303420036085e-05	0.02299110451519168	True	False
ENSG00000163807	KIAA1143	protein_coding	MGS2_vs_MGS1	491.9615593282621	-0.14162772776611257	0.034833737528871644	-4.0658206041980325	4.786374464108154e-05	0.02299110451519168	True	False
ENSG00000197429	IPP	protein_coding	MGS2_vs_MGS1	214.20704337759298	-0.1597658322004319	0.03952513246331449	-4.042132745506156	5.2967231151169335e-05	0.02299110451519168	True	False
ENSG00000113810	SMC4	protein_coding	MGS2_vs_MGS1	559.785006141147	-0.1972888695188309	0.049056226579894155	-4.021688647363072	5.7782403819988086e-05	0.02299110451519168	True	False
ENSG00000114166	KAT2B	protein_coding	MGS2_vs_MGS1	1487.0798048416355	-0.13804044096185375	0.03431777483062239	-4.0224181679366255	5.760367047082065e-05	0.02299110451519168	True	False
ENSG00000187555	USP7	protein_coding	MGS2_vs_MGS1	2052.926470093847	-0.0991558564887498	0.02345918434562347	-4.226739302948028	2.371020971130383e-05	0.02299110451519168	True	False
ENSG00000185127	C6orf120	protein_coding	MGS2_vs_MGS1	627.6320100059205	-0.1777758873480707	0.04420389026019988	-4.0217249274129125	5.777350277054848e-05	0.02299110451519168	True	False
ENSG00000169131	ZNF354A	protein_coding	MGS2_vs_MGS1	199.85851346290093	-0.18443978931252233	0.04503427516691407	-4.095542531303516	4.211808926260836e-05	0.02299110451519168	True	False
ENSG00000170946	DNAJC24	protein_coding	MGS2_vs_MGS1	201.47705040163083	-0.14644853286815132	0.03426314965984356	-4.2742285610651	1.9180020746848253e-05	0.02299110451519168	True	False
ENSG00000183354	KIAA2026	protein_coding	MGS2_vs_MGS1	1154.6714284009333	-0.13855770107014914	0.034587183316651574	-4.006041769913141	6.174473480691076e-05	0.02299110451519168	True	False
