feature_rank	ensembl_id	gene_symbol	gene_biotype	selection_source	is_DEG	strict_DEG	best_padj	best_log2FC	best_comparison	is_HVG	hvg_rank	variance_vst
1	ENSG00000160307	S100B	protein_coding	DEG+HVG	True	False	0.0005556451408257	0.6692392496830852	MGS4_vs_MGS1	True	1720	0.30162378568794135
2	ENSG00000125730	C3	protein_coding	DEG+HVG	True	False	0.0090018008530674	0.7428841570365605	MGS4_vs_MGS1	True	187	0.8166141924480306
3	ENSG00000143768	LEFTY2	protein_coding	DEG+HVG	True	False	0.0154226005859609	0.93443605261215	MGS4_vs_MGS1	True	1595	0.31304476836837786
4	ENSG00000198734	F5	protein_coding	DEG+HVG	True	False	0.018111467790118	0.6897840626172355	MGS4_vs_MGS1	True	968	0.4071553230811702
5	ENSG00000107165	TYRP1	protein_coding	DEG+HVG	True	False	0.0203179041491645	0.7387697462489627	MGS4_vs_MGS1	True	983	0.40310351611247563
6	ENSG00000242574	HLA-DMB	protein_coding	DEG+HVG	True	False	0.0207850461426469	0.5839793933440075	MGS4_vs_MGS1	True	1349	0.3432379400947689
7	ENSG00000079931	MOXD1	protein_coding	DEG+HVG	True	False	0.0256266186207102	0.5617244245889254	MGS4_vs_MGS1	True	980	0.4042026935337808
8	ENSG00000224389	C4B	protein_coding	DEG+HVG	True	False	0.0295589064540493	0.5194433208372952	MGS2_vs_MGS1	True	59	1.3157619020161364
9	ENSG00000019582	CD74	protein_coding	DEG+HVG	True	False	0.0295589064540493	0.3614251255650321	MGS2_vs_MGS1	True	342	0.6223903880128924
10	ENSG00000041982	TNC	protein_coding	DEG+HVG	True	False	0.0295589064540493	0.3745674278289336	MGS2_vs_MGS1	True	437	0.5643191444633324
11	ENSG00000234745	HLA-B	protein_coding	DEG+HVG	True	False	0.0295589064540493	0.3408730578992494	MGS2_vs_MGS1	True	450	0.5576303505688157
12	ENSG00000149131	SERPING1	protein_coding	DEG+HVG	True	False	0.0297920749968026	0.3026172596803945	MGS2_vs_MGS1	True	776	0.449078865252428
13	ENSG00000196126	HLA-DRB1	protein_coding	DEG+HVG	True	False	0.0315404377830364	0.3391190453542921	MGS2_vs_MGS1	True	865	0.4295155990396098
14	ENSG00000131095	GFAP	protein_coding	DEG+HVG	True	False	0.0324758118076684	0.423941419639724	MGS2_vs_MGS1	True	75	1.1676942338678078
15	ENSG00000159403	C1R	protein_coding	DEG+HVG	True	False	0.0324758118076684	0.3389388680988424	MGS2_vs_MGS1	True	616	0.49348593323338363
16	ENSG00000160678	S100A1	protein_coding	DEG+HVG	True	False	0.0324939411202466	0.2752170530322667	MGS2_vs_MGS1	True	1794	0.294060472355468
17	ENSG00000251569	RP11-724O16.1	protein_coding	DEG+HVG	True	False	0.0326187892416333	-0.2751388941451608	MGS2_vs_MGS1	True	1139	0.37409464793107056
18	ENSG00000188488	SERPINA5	protein_coding	DEG+HVG	True	False	0.0327205174124741	0.3654097396776218	MGS2_vs_MGS1	True	271	0.6881772862335511
19	ENSG00000120885	CLU	protein_coding	DEG+HVG	True	False	0.0336677615727877	0.2211607815858769	MGS2_vs_MGS1	True	1546	0.31858121535057105
20	ENSG00000206503	HLA-A	protein_coding	DEG+HVG	True	False	0.0349629061450082	0.289318243570023	MGS2_vs_MGS1	True	584	0.5040599399876508
21	ENSG00000122176	FMOD	protein_coding	DEG+HVG	True	False	0.0349629061450082	0.2315091550384571	MGS2_vs_MGS1	True	1874	0.2864887932484003
22	ENSG00000154096	THY1	protein_coding	DEG+HVG	True	False	0.0353810158866604	0.2652935803799398	MGS2_vs_MGS1	True	959	0.40890093628322405
23	ENSG00000100427	MLC1	protein_coding	DEG+HVG	True	False	0.0357326877689936	0.3337459968066215	MGS2_vs_MGS1	True	818	0.4402226579142169
24	ENSG00000102265	TIMP1	protein_coding	DEG+HVG	True	False	0.0389936198272641	0.2984807201040709	MGS2_vs_MGS1	True	1044	0.3908838422722755
25	ENSG00000204389	HSPA1A	protein_coding	DEG+HVG	True	False	0.0391043395855871	0.5869376493474343	MGS2_vs_MGS1	True	40	1.7632822504361092
26	ENSG00000231389	HLA-DPA1	protein_coding	DEG+HVG	True	False	0.0394850459901442	0.2336892942692073	MGS2_vs_MGS1	True	1543	0.31885657620426844
27	ENSG00000196465	MYL6B	protein_coding	DEG+HVG	True	False	0.0401726836583583	0.2239584036388874	MGS2_vs_MGS1	True	1981	0.2769229780134027
28	ENSG00000137726	FXYD6	protein_coding	DEG+HVG	True	False	0.0402201574178199	0.2046634438555049	MGS2_vs_MGS1	True	1939	0.28057437510811084
29	ENSG00000179304	FAM156B	protein_coding	DEG+HVG	True	False	0.0418219607097896	0.4525941047135211	MGS2_vs_MGS1	True	151	0.8907939226701589
30	ENSG00000204287	HLA-DRA	protein_coding	DEG+HVG	True	False	0.0427233397869936	0.2486912099431771	MGS2_vs_MGS1	True	766	0.45243628126551827
31	ENSG00000100097	LGALS1	protein_coding	DEG+HVG	True	False	0.0427490119496585	0.2866148171495987	MGS2_vs_MGS1	True	1057	0.38867788225243555
32	ENSG00000185201	IFITM2	protein_coding	DEG+HVG	True	False	0.0428531472947346	0.4100565806646828	MGS2_vs_MGS1	True	139	0.9143187400080611
33	ENSG00000126822	PLEKHG3	protein_coding	DEG+HVG	True	False	0.0428531472947346	0.3533204989810614	MGS2_vs_MGS1	True	490	0.5398156879829586
34	ENSG00000084636	COL16A1	protein_coding	DEG+HVG	True	False	0.0433588548706231	0.3074107463172121	MGS2_vs_MGS1	True	511	0.5302201505638592
35	ENSG00000141934	PLPP2	protein_coding	DEG+HVG	True	False	0.0439423295736773	0.305947301073642	MGS2_vs_MGS1	True	354	0.6187101989670496
36	ENSG00000164106	SCRG1	protein_coding	DEG+HVG	True	False	0.0445498258696295	0.5202751104690586	MGS4_vs_MGS1	True	1481	0.3268858487647568
37	ENSG00000123560	PLP1	protein_coding	DEG+HVG	True	False	0.0450524974736305	0.2935916769117258	MGS2_vs_MGS1	True	1112	0.37743488274111364
38	ENSG00000205336	ADGRG1	protein_coding	DEG+HVG	True	False	0.0464045079221467	0.3819564798802145	MGS2_vs_MGS1	True	221	0.7545654537800759
