ensembl_id	gene_symbol	out_strength	in_strength	out_degree	in_degree	out_rank
ENSG00000165915	SLC39A13	4.021428	1.0	3030	3030	1
ENSG00000103266	STUB1	3.643966	1.0	3030	3030	2
ENSG00000105701	FKBP8	3.58236	0.99999994	3030	3030	3
ENSG00000133243	BTBD2	3.5396185	1.0	3030	3030	4
ENSG00000117984	CTSD	3.5214126	1.0	3030	3030	5
ENSG00000196576	PLXNB2	3.4879663	1.0	3030	3030	6
ENSG00000115694	STK25	3.47013	1.0	3030	3030	7
ENSG00000225663	MCRIP1	3.428884	0.99999994	3030	3030	8
ENSG00000100241	SBF1	3.4283926	1.0	3030	3030	9
ENSG00000179364	PACS2	3.2844844	1.0	3030	3030	10
ENSG00000176978	DPP7	3.2760046	1.0	3030	3030	11
ENSG00000104805	NUCB1	3.2677057	1.0	3030	3030	12
ENSG00000105223	PLD3	3.2507172	1.0	3030	3030	13
ENSG00000131584	ACAP3	3.2397413	1.0	3030	3030	14
ENSG00000166313	APBB1	3.218357	1.0	3030	3030	15
ENSG00000142208	AKT1	3.2175007	0.99999994	3030	3030	16
ENSG00000078808	SDF4	3.2168849	1.0	3030	3030	17
ENSG00000167770	OTUB1	3.2081723	1.0	3030	3030	18
ENSG00000172270	BSG	3.1730576	0.99999994	3030	3030	19
ENSG00000079432	CIC	3.1708136	1.0	3029	3030	20
ENSG00000142186	SCYL1	3.129491	1.0	3030	3030	21
ENSG00000138834	MAPK8IP3	3.1012375	1.0	3030	3030	22
ENSG00000014216	CAPN1	3.0925865	1.0	3030	3030	23
ENSG00000178209	PLEC	3.089723	1.0	3030	3030	24
ENSG00000186501	TMEM222	3.0273395	1.0	3030	3030	25
ENSG00000169727	GPS1	3.024266	1.0	3030	3030	26
ENSG00000116786	PLEKHM2	3.0077174	1.0	3030	3030	27
ENSG00000011009	LYPLA2	2.994967	1.0	3030	3030	28
ENSG00000171298	GAA	2.9925995	1.0	3030	3030	29
ENSG00000099864	PALM	2.9863002	1.0	3029	3030	30
ENSG00000108262	GIT1	2.9726806	0.99999994	3030	3030	31
ENSG00000177542	SLC25A22	2.9725866	1.0	3030	3030	32
