Source_Node,Target_Node,Weight,Direction_Confidence
USP9Y,PCDH11Y,0.0999081432819366,0.359473410824085
KDM5D,EIF1AY,0.0935274884104728,0.0954930747602579
RPS4Y1,KDM5D,0.0886184051632881,0.2128360861048652
UTY,USP9Y,0.0873646661639213,0.2720360317475898
UTY,EIF1AY,0.0865236893296241,0.1375546197998314
UTY,RPS4Y1,0.0858984813094139,0.1360347848904109
UTY,ZFY,0.0854518339037895,0.292798962796432
ZFY,KDM5D,0.0849819630384445,0.0588461912640975
USP9Y,NLGN4Y,0.0815204083919525,0.0038775244691538
KDM5D,UTY,0.080328918993473,0.1213041724236299
PCDH11Y,KDM5D,0.0797763988375663,0.136889115211832
UTY,DDX3Y,0.0789953768253326,0.1103072069355739
USP9Y,RPS4Y1,0.0786670669913292,0.0504215036000268
DDX3Y,USP9Y,0.0786600336432457,0.2250868955845292
ZFY,DDX3Y,0.0770107507705688,0.0103542610412465
RPS4Y1,TMSB4Y,0.0768159478902816,0.182677967156019
KDM5D,DDX3Y,0.0762443840503692,0.1494900385540055
NLGN4Y,UTY,0.074337899684906,0.0806194866472574
UTY,PCDH11Y,0.0681179463863372,0.1909239980332216
EIF1AY,NLGN4Y,0.0679147988557815,0.2903404806985697
NLGN4Y,TMSB4Y,0.0677752643823623,0.4230673600013999
UTY,TMSB4Y,0.0670674815773963,0.1637064153609375
ZFY,EIF1AY,0.0668884888291359,0.2808615891274189
NLGN4Y,DDX3Y,0.0664414167404174,0.0602060506091807
EIF1AY,TMSB4Y,0.0663190484046936,0.131308807469297
EIF1AY,DDX3Y,0.0639207884669303,0.1066964995903361
KDM5D,NLGN4Y,0.0638434067368507,0.3607316421089927
RPS4Y1,EIF1AY,0.0636284202337265,0.2296459879919013
RPS4Y1,PCDH11Y,0.0635551810264587,0.1416504792246
DDX3Y,RPS4Y1,0.0626877173781395,0.0075236741873665
PCDH11Y,NLGN4Y,0.0619876533746719,0.1725466110206282
LRRC37A2,LRRC37A,0.0618865452706813,0.1108407580033486
ZFY,NLGN4Y,0.061705257743597,0.1089140429340712
RPS4Y1,NLGN4Y,0.0616980828344821,0.1237265298347216
KDM5D,USP9Y,0.0612144619226455,0.0279681795354178
PCDH11Y,TMSB4Y,0.0605268478393554,0.1601200037556785
ZFY,RPS4Y1,0.0593654476106166,0.0201566808621957
TMSB4Y,USP9Y,0.0584100596606731,0.0564299848099656
USP9Y,EIF1AY,0.0583244413137435,0.0552490040107524
EIF1AY,PCDH11Y,0.0569229908287525,0.250988961396299
USP9Y,ZFY,0.0565946325659751,0.1933623721707916
RPS4Y1,ZFX,0.056312657892704,0.2812716908292102
DDX3Y,EIF2S3,0.0556634403765201,0.5124002027423719
KDM5D,ZFX,0.0552779138088226,0.5833783259141281
TMSB4Y,ZFY,0.0539295189082622,0.1459875578842346
DDX3Y,TMSB4Y,0.0526916868984699,0.0481485408981475
PCDH11Y,DDX3Y,0.0526244044303894,0.0555273463187056
RPS4Y1,TXLNG,0.0486543029546737,0.4176571064186838
EIF1AY,EIF2S3,0.0468787588179111,0.493175020657069
KDM5D,TXLNG,0.0445347167551517,0.2853761027270767
KDM5D,EIF2S3,0.0436790063977241,0.2889566316672585
KDM5D,DDX3X,0.0431846342980861,0.566111070918155
KDM5D,TMSB4Y,0.0418064258992672,0.1485394799433426
NLGN4Y,EIF2S3,0.0417169816792011,0.3337009899103113
NLGN4Y,TXLNG,0.0416571944952011,0.6237084797154073
RPS4Y1,EIF2S3,0.0411077477037906,0.4062500955715638
C21orf33,PWP2,0.0407464392483234,0.023432595328588
EIF1AY,TXLNG,0.0404101349413394,0.5415943160575876
NLGN4Y,DDX3X,0.0395536199212074,0.4836955633088486
USP9Y,EIF2S3,0.0374872721731662,0.5421565382764758
ATF3,BTG2,0.0374834798276424,0.2285008955127939
GAD1,SCG2,0.037453357130289,0.4787970013689299
ZFY,ZFX,0.0371665880084037,0.13063915461864
AC096949.1,HSPE1-MOB4,0.0368595458567142,0.591628195148987
TBC1D3,TBC1D3D,0.036755621433258,0.2164430749620281
HBA1,HBB,0.0367067642509937,0.3858406978133823
ZFY,EIF2S3,0.0366836972534656,0.2503716467232578
RPS4Y1,DDX3X,0.0358802825212478,0.3455841545363232
KIAA1107,AC096949.1,0.0348287597298622,0.4050108041053231
ZFX,EIF1AY,0.0345577932894229,0.1291698376809054
HBEGF,GPR3,0.0340537540614604,0.4170387279383916
DDX3Y,TXLNG,0.0338895805180072,0.409853990848512
HSPA1B,HSPA1A,0.0336874313652515,0.1908960576865117
BTG2,FOS,0.0331750400364398,0.4299433713649774
TNR,DCHS2,0.0327580347657203,0.0631327635602937
OPN1MW2,OPN1MW,0.0327377766370773,0.1706901572518466
TMSB4Y,ZFX,0.0324061773717403,0.274777276735995
FRMPD4,TNR,0.0323534160852432,0.1214538708862647
SYT2,NEFM,0.0321279726922512,0.1378421378346834
PDK1,BNIP3L,0.0320906676352024,0.3060260145434329
NR4A1,JUN,0.032078418880701,0.5751916486750889
UTY,DDX3X,0.0319926440715789,0.2989648050758895
ZFY,DDX3X,0.0319656990468502,0.2646034400289398
UTY,ZFX,0.0313555635511875,0.2549796193028335
HBEGF,INHBA,0.0313479676842689,0.5725807623239358
MZT1,UBE2D1,0.0309843253344297,0.6899932430135988
SYT2,NEFL,0.0306288227438926,0.0079869163013453
CLPTM1,PAQR4,0.0304933805018663,0.9262784570559052
USP9Y,ZFX,0.0304907206445932,0.2460237542152539
ZFY,PCDH11Y,0.0302990172058343,0.0933289313369104
USP9Y,DDX3X,0.0302514005452394,0.2630367854781571
USP9Y,USP9X,0.0301937703043222,0.4443803345272489
PCDH11Y,EIF2S3,0.0299329180270433,0.194240161490147
ONECUT2,TNR,0.0297773145139217,0.3650222407899541
NRN1,NEFL,0.0294191949069499,0.1208299684470319
FOSB,FOS,0.0293564200401306,0.5238954214761343
B3GAT2,DCHS2,0.0291563458740711,0.0699666317122967
ERO1A,FAM162A,0.0290996003895998,0.0705794283584404
DCHS2,ONECUT2,0.0290971342474222,0.1024761773271882
FOSB,BTG2,0.0290588308125734,0.3673332509677541
POU4F1,SV2C,0.0290527809411287,0.1465831786066498
DCHS2,FRMPD4,0.0289488080888986,0.0489488372818721
PILRB,PILRA,0.0285439621657133,0.1741245987294964
BTG2,EGR1,0.0284207966178655,0.1659407252451981
B3GAT2,ONECUT2,0.0281526129692792,0.0711172014809019
UTY,EIF2S3,0.0281016882508993,0.0362136821599346
GADD45B,BHLHE40,0.0280424281954765,0.0188216020170856
HLA-DMB,HLA-DMA,0.0277976132929325,0.0809323637633738
RP11-849F2.7,KRBA2,0.027761086821556,0.1962513425471383
ZFX,EIF2S3,0.0277136284857988,0.1649614304179652
KCNC2,POU4F1,0.0275813601911067,0.2772503652402029
ATF3,CKS2,0.0274769999086856,0.564535793497388
GAD1,CARTPT,0.0274168271571397,0.1889438290059834
KIAA1107,AC090094.1,0.0273119769990444,0.099142821866703
PFKFB4,PPFIA4,0.0273015704005956,0.182796655126257
ZFX,PCDH11Y,0.0272807274013757,0.0368688692168246
FRMPD4,ADGRG4,0.0272129978984594,0.1500627954927454
