Gene_Symbol	Node_Category	out_degree	Log2FC_MGS4	Padj_MGS4
VEGFA	Known_AMD	30	0.0534170509652126	0.9668284204167856
C3	Known_AMD	20	0.7428841570365605	0.0090018008530674
CFI	Known_AMD	14	0.2617764212780746	0.4042394424027427
CFB	Known_AMD	14	0.4214814242014718	0.4823339586254819
IER3	Known_AMD	13	0.2921309395351617	0.8385732301484605
DDR1	Known_AMD	12	0.078283385745248	0.91027133968163
ADAMTS9	Known_AMD	7	-0.0038636866932901	0.998623140345934
APOE	Known_AMD	7	-0.1981429601072993	0.8534033462701703
EFEMP1	Known_AMD	4	0.1842626221744673	0.673555186460596
MBD2	Known_AMD	4	-0.0288999175993967	0.9065029142825533
COL8A1	Known_AMD	2	0.741956167667838	0.0048446399507321
PILRB	Known_AMD	1	-0.0111595644255153	0.993417899583905
CFH	Known_AMD	1	0.0935156772799083	0.8972019912816597
CNGB3	Known_AMD	1	-0.1142277836732187	0.7883263777975275
IGFBP7	Known_AMD	1	0.4475711045952153	0.0005556451408257
PILRA	Known_AMD	0	0.0712616308688468	0.946181644039768
ABCA1	Known_AMD	0	-0.1714921621579121	0.752054009546474
