hub_rank	regulator_ensembl	regulator_symbol	out_degree	total_weight	mean_weight
1	ENSG00000196576	PLXNB2	68	0.7175603397190536	0.010552357937044907
2	ENSG00000165915	SLC39A13	66	0.6965205534361268	0.010553341718729195
3	ENSG00000117984	CTSD	63	0.6920358859933884	0.010984696603069657
4	ENSG00000105701	FKBP8	61	0.6590178124606579	0.01080357069607636
5	ENSG00000079432	CIC	59	0.6453216695226699	0.010937655415638473
6	ENSG00000100241	SBF1	59	0.6405069623142452	0.010856050208716021
7	ENSG00000103266	STUB1	57	0.6252016848884494	0.01096845061207806
8	ENSG00000179364	PACS2	56	0.633150458801535	0.011306258192884553
9	ENSG00000133243	BTBD2	54	0.648345609195528	0.012006400170287555
10	ENSG00000225663	MCRIP1	54	0.656038017012176	0.012148852166892148
11	ENSG00000176978	DPP7	53	0.5899388659745428	0.011130921999519676
12	ENSG00000078808	SDF4	53	0.5999374547973247	0.011319574618817448
13	ENSG00000186501	TMEM222	52	0.5535203120671187	0.01064462138590613
14	ENSG00000100359	SGSM3	51	0.5375129748135784	0.01053947009438389
15	ENSG00000115694	STK25	50	0.5933728478848909	0.011867456957697817
16	ENSG00000138834	MAPK8IP3	50	0.5546268606558421	0.011092537213116841
17	ENSG00000141522	ARHGDIA	49	0.4973555542528605	0.010150113352099194
18	ENSG00000172270	BSG	47	0.5137602197937646	0.010931068506250311
19	ENSG00000112033	PPARD	47	0.5294314273633038	0.01126449845453838
20	ENSG00000131584	ACAP3	46	0.4950452796183503	0.010761853904746746
21	ENSG00000166313	APBB1	46	0.5317686926573493	0.01156018897081194
22	ENSG00000167770	OTUB1	44	0.4773689275607443	0.010849293808198733
23	ENSG00000104960	PTOV1	43	0.482150686904786	0.011212806672204326
24	ENSG00000108262	GIT1	42	0.4687808998860397	0.01116144999728666
25	ENSG00000105223	PLD3	42	0.4467760180123133	0.010637524238388412
26	ENSG00000178209	PLEC	42	0.4749606684781587	0.011308587344718065
27	ENSG00000100083	GGA1	42	0.451200918294487	0.010742879007011595
28	ENSG00000116786	PLEKHM2	41	0.4434889163821915	0.010816802838590036
29	ENSG00000108840	HDAC5	41	0.4568351497873641	0.011142320726521077
30	ENSG00000172354	GNB2	41	0.428354183677582	0.01044766301652639
31	ENSG00000175467	SART1	41	0.4324376406148057	0.010547259527190383
32	ENSG00000008710	PKD1	41	0.4300850415602305	0.010489879062444646
33	ENSG00000104964	AES	41	0.4732324825599772	0.011542255672194565
34	ENSG00000162032	SPSB3	41	0.4333095112815481	0.010568524665403612
35	ENSG00000011009	LYPLA2	41	0.459034128114579	0.011195954344258024
36	ENSG00000104805	NUCB1	41	0.44405617052689	0.010830638305533902
37	ENSG00000142186	SCYL1	41	0.4269401347264624	0.010413174017718595
38	ENSG00000099864	PALM	40	0.4070935221388916	0.01017733805347229
39	ENSG00000130294	KIF1A	40	0.4209049977362137	0.010522624943405343
40	ENSG00000177542	SLC25A22	40	0.4319504611194113	0.010798761527985283
41	ENSG00000105696	TMEM59L	40	0.4300519176758804	0.01075129794189701
42	ENSG00000131653	TRAF7	40	0.4471765770576872	0.01117941442644218
43	ENSG00000015532	XYLT2	39	0.4177034860476832	0.010710345796094442
44	ENSG00000100239	PPP6R2	39	0.4208321333862822	0.010790567522725185
45	ENSG00000175756	AURKAIP1	39	0.4268998196348529	0.010946149221406484
46	ENSG00000074964	ARHGEF10L	38	0.415475810877977	0.010933573970473079
47	ENSG00000168610	STAT3	38	0.4494015220552661	0.011826355843559636
48	ENSG00000059915	PSD	38	0.4138487959280591	0.010890757787580503
49	ENSG00000174886	NDUFA11	38	0.4088606415316442	0.010759490566622216
