rank	gene_symbol	tabnet_importance
1	THAP4	0.11431834915674073
2	MMGT1	0.0776817048309331
3	KCNH8	0.06364654080043931
4	ZNF562	0.05764010695946131
5	ECSIT	0.03829446437256029
6	RUVBL2	0.029035927005602258
7	KCNH2	0.026571901653300495
8	GBP2	0.024137162031690328
9	GSPT1	0.02287981088853085
10	SYDE2	0.022497725257147085
11	SEZ6L2	0.020806835990854748
12	CRHR1	0.020526381213136474
13	RNF111	0.01952742772995714
14	ZNF91	0.018978009988604005
15	CHMP6	0.01712568836356452
16	RARRES2	0.016613433822418276
17	ECE2	0.01549394192872724
18	SMIM11A	0.015390776005642575
19	CRHR1	0.015342192402106448
20	C16orf58	0.015318883228133514
21	MBD6	0.015168031467245385
22	CSNK1E	0.014004276732710262
23	CXCR4	0.01317590592090284
24	ZFP36L1	0.011097635242209814
25	USF1	0.010942207399638838
26	DAO	0.010897276365019205
27	HES4	0.010095191639955085
28	ZNF414	0.009870583386540783
29	C1orf27	0.009680583774256285
30	KCNJ14	0.00962185332501875
31	C14orf159	0.00954842446846464
32	NME3	0.009038115844013308
33	BCAM	0.008714903498122045
34	APOE	0.008707280571715813
35	MATR3	0.008039962097092518
36	EEF1D	0.007946395745998529
37	DCLRE1A	0.007155079634394234
38	INTS6	0.006441231846210132
39	OLR1	0.00622184958889472
40	MT1F	0.006081998592270616
41	MAPK8IP2	0.0057211025093055305
42	NAA30	0.005155458513154304
43	HLA-DRB1	0.005084835535017282
44	HK2	0.0048346096666434584
45	SPTBN5	0.004833285958165145
46	LONP1	0.0044550321887822
47	ZDHHC8	0.0038433628077288685
48	SCFD1	0.0036411889222945563
49	CRYAB	0.0035594086451627097
50	MAD1L1	0.003501644516074119
51	SYNPO	0.0034577702617535656
52	DDX3Y	0.003454580529226729
53	DNAJC24	0.003306261070848696
54	MINOS1-NBL1	0.003232094476031243
55	DNAJB5	0.0030629965136923804
56	COL9A3	0.0030593804407139666
57	IGFL4	0.0030106529024723407
58	ATG4D	0.00289118087788893
59	SETD1A	0.0028179776558803758
60	USP9X	0.002685187860352817
61	PLGLB2	0.0025697179079298767
62	RSPH3	0.0025539643407605198
63	RPP14	0.0024949889276113285
64	QSER1	0.0023197714206501406
65	CCND1	0.0021913588188512065
66	OPN1SW	0.0021840181378754847
67	PPP4R3A	0.0021777985956634486
68	TTLL3	0.002122697563756524
69	NKAP	0.002110433933380677
70	TPPP3	0.0020999077942843876
71	FNTA	0.0020880095145058898
72	ZNF662	0.0019783006420884194
73	TAF12	0.0019209311104947649
74	POLM	0.0018528387041884201
75	FAM65A	0.0018451790124811844
76	PRAF2	0.0017715009665058286
77	MT-ND6	0.0016289548694785542
78	BLOC1S5-TXNDC5	0.0016024108789038536
79	PLD3	0.001503617438305338
80	DDR1	0.001466601972232768
81	C10orf10	0.0014515255145921804
82	NOSIP	0.0012006500018335775
83	DYRK1B	0.0011774407727161056
84	GBP1	0.00113212375935271
85	ZNF397	0.0011097302536139358
86	SPTBN4	0.0010983468312468986
87	SRF	0.0010382269225028182
88	EGR2	0.0009189478958719229
89	RGS16	0.0008927642413978246
90	EFCAB7	0.0008342375512629238
91	S100A13	0.0008289601851062221
92	GAS2L1	0.0008193617231650252
93	ISYNA1	0.0007274327443815586
94	ACTC1	0.000722102858362064
95	GADD45G	0.0007092519792136348
96	RAD1	0.0006992411849433219
97	CAPZA1	0.0006984985785714387
98	ANAPC11	0.0006736093909816745
99	AP5M1	0.0006597124093788308
100	ATP5D	0.0006518840175742048
101	PHYHD1	0.0006365883477555961
102	FLNC	0.000633405944901342
103	ADGRB2	0.0006233023228295212
104	DUS1L	0.0006169263817862534
105	LLGL2	0.0005955304529889924
106	SH3GL1	0.000594494677478736
107	STAM2	0.0005472933922055738
108	GDAP2	0.0005323598720628127
109	TRH	0.000526836506260166
110	KIF5B	0.00051428563835726
111	MEGF9	0.0005079510585578927
112	XXbac-BPG32J3.22	0.000480724479309867
113	GADD45B	0.0004670872410064859
114	PPP2R5E	0.00046320053624877817
