lime_rank	gene_symbol	frequency	mean_abs_weight	mean_weight	positive_frac	pct_patients	direction
1	KCNH8	24	0.02715849016096795	0.006141910384141789	0.5	27.6	activating
2	SEZ6L2	13	0.032338802896735505	0.020850005607221958	0.7692307692307693	14.9	activating
3	FBN2	8	0.007843900525186479	-0.0028544924436334487	0.375	9.2	suppressing
4	STIM2	7	0.011606595882142693	0.0028089015727159844	0.42857142857142855	8.0	activating
5	FBXO33	7	0.010326326942708111	-0.0036135451287122645	0.42857142857142855	8.0	suppressing
6	GADD45B	7	0.00921915299681494	0.0008796652392605107	0.5714285714285714	8.0	activating
7	TIPARP	7	0.008613182742376777	0.008613182742376777	1.0	8.0	activating
8	RPS4Y1	6	0.01013251027175025	0.00455277084283019	0.6666666666666666	6.9	activating
9	FOSB	6	0.008592123022581983	-0.0025072428560453937	0.5	6.9	suppressing
10	ARL2-SNX15	6	0.007120763140270905	-0.006492508415279639	0.16666666666666666	6.9	suppressing
11	HP	6	0.00688058723227436	0.004385647539872399	0.6666666666666666	6.9	activating
12	CSNK1E	5	0.02336554049574812	0.010983256136360772	0.6	5.7	activating
13	ACTC1	5	0.015523783650574191	-0.006978613125476924	0.2	5.7	suppressing
14	OPN1SW	5	0.012974485311877193	0.012974485311877193	1.0	5.7	activating
15	HAUS2	5	0.0129511160067243	0.0026345049561784357	0.6	5.7	activating
16	PRTG	5	0.012702483448495647	-0.005686036155034211	0.2	5.7	suppressing
17	CXCR4	5	0.012207267019242433	-0.008676503058565679	0.4	5.7	suppressing
18	SCFD1	5	0.012041803288923878	-0.012041803288923878	0.0	5.7	suppressing
19	ACTR6	5	0.010124135383981785	-0.0020974876770755	0.4	5.7	suppressing
20	KRT40	5	0.007016918153042902	-0.007016918153042902	0.0	5.7	suppressing
21	ISYNA1	5	0.00676263038705321	-0.001959454831861891	0.2	5.7	suppressing
22	CRHR1	5	0.006452444402260514	-0.0028316521369131454	0.4	5.7	suppressing
23	MMGT1	5	0.006083499386490661	0.0014143580783387458	0.6	5.7	activating
24	PHYHD1	4	0.015767895461422207	0.003504244796843957	0.75	4.6	activating
25	RNF111	4	0.015094049488640692	0.015094049488640692	1.0	4.6	activating
26	NPAS2	4	0.015002743825124176	-0.00249290588497013	0.25	4.6	suppressing
27	LEMD3	4	0.014828332151480743	-0.005502843623979384	0.25	4.6	suppressing
28	NDUFS5	4	0.014690907697070831	-0.005374438847984503	0.25	4.6	suppressing
29	HES4	4	0.014445751685910186	-0.009206641083318359	0.25	4.6	suppressing
30	RHOU	4	0.014127892951963584	-0.004682749854415943	0.5	4.6	suppressing
31	STRADA	4	0.012398020363767415	0.00045301496848459836	0.75	4.6	activating
32	ZNF562	4	0.012285649359982652	-0.0036617834072574136	0.5	4.6	suppressing
33	IFITM2	4	0.012170929354062044	0.007527476628491274	0.75	4.6	activating
34	PRPF38A	4	0.012000499340333063	0.003703170107177232	0.5	4.6	activating
35	RP11-542C16.2	4	0.011513712206173005	0.011513712206173005	1.0	4.6	activating
36	ITGA4	4	0.010989114733115065	0.00789709931004924	0.75	4.6	activating
37	C1QL2	4	0.010780943841437199	0.008627964696335502	0.75	4.6	activating
38	XXbac-BPG32J3.22	4	0.010129545316784953	-0.003484348524750342	0.5	4.6	suppressing
39	SYDE2	4	0.009357286669313576	-0.005884593288094743	0.5	4.6	suppressing
40	P4HA1	4	0.008521935402962087	-0.0017398383664089935	0.25	4.6	suppressing
41	CRK	4	0.008476722106349612	0.0003779092805895794	0.25	4.6	activating
42	PLGLB2	4	0.008326843071545464	-0.006552478623991283	0.25	4.6	suppressing
43	STMN4	4	0.008164084534563642	-0.0013671115808362127	0.5	4.6	suppressing
44	NAA35	4	0.007744764624029794	-0.003916139056125791	0.5	4.6	suppressing
45	KBTBD11-OT1	4	0.007298996253881577	0.006337897694622883	0.75	4.6	activating
46	MT1F	4	0.007096951863232228	-0.003759651658990851	0.25	4.6	suppressing
47	ZFP36L1	4	0.006986814396998154	0.004089690197573043	0.75	4.6	activating
48	PRPH	4	0.006806295969871699	-0.004023926084469264	0.25	4.6	suppressing
49	TMBIM4	4	0.006760339972712892	-0.003986635336661616	0.5	4.6	suppressing
50	PPP1R3C	4	0.0061811259750338	-0.0028711294966359867	0.25	4.6	suppressing
