Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	5/482	6.916819e-03	2.076224e-01	0	0	4.535989e+00	2.256110e+01	IFITM2;CXCR4;RHOU;CRK;ZFP36L1
GO_Biological_Process_2021	cellular response to peptide (GO:1901653)	2/57	8.955161e-03	2.076224e-01	0	0	1.507197e+01	7.107225e+01	ITGA4;ZFP36L1
GO_Biological_Process_2021	regulation of mitotic cell cycle phase transition (GO:1901990)	3/188	1.158920e-02	2.076224e-01	0	0	6.819436e+00	3.039887e+01	CSNK1E;HAUS2;ZFP36L1
GO_Biological_Process_2021	negative regulation of hydrogen peroxide metabolic process (GO:0010727)	1/5	1.243878e-02	2.076224e-01	0	0	1.017653e+02	4.464379e+02	HP
GO_Biological_Process_2021	response to salt stress (GO:0009651)	1/5	1.243878e-02	2.076224e-01	0	0	1.017653e+02	4.464379e+02	ZFP36L1
GO_Biological_Process_2021	cell-cell adhesion mediated by integrin (GO:0033631)	1/5	1.243878e-02	2.076224e-01	0	0	1.017653e+02	4.464379e+02	ITGA4
GO_Biological_Process_2021	cellular response to salt stress (GO:0071472)	1/5	1.243878e-02	2.076224e-01	0	0	1.017653e+02	4.464379e+02	ZFP36L1
GO_Biological_Process_2021	chemokine (C-X-C motif) ligand 12 signaling pathway (GO:0038146)	1/5	1.243878e-02	2.076224e-01	0	0	1.017653e+02	4.464379e+02	CXCR4
GO_Biological_Process_2021	positive regulation of store-operated calcium channel activity (GO:1901341)	1/5	1.243878e-02	2.076224e-01	0	0	1.017653e+02	4.464379e+02	STIM2
GO_Biological_Process_2021	ubiquitin-dependent SMAD protein catabolic process (GO:0030579)	1/5	1.243878e-02	2.076224e-01	0	0	1.017653e+02	4.464379e+02	RNF111
GO_Biological_Process_2021	p38MAPK cascade (GO:0038066)	1/5	1.243878e-02	2.076224e-01	0	0	1.017653e+02	4.464379e+02	ZFP36L1
GO_Biological_Process_2021	negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)	2/68	1.256089e-02	2.076224e-01	0	0	1.255303e+01	5.494671e+01	FBN2;LEMD3
GO_Biological_Process_2021	negative regulation of protein binding (GO:0032091)	2/74	1.475252e-02	2.076224e-01	0	0	1.150347e+01	4.850257e+01	ITGA4;CSNK1E
GO_Biological_Process_2021	negative regulation of erythrocyte differentiation (GO:0045647)	1/6	1.490828e-02	2.076224e-01	0	0	8.140816e+01	3.423896e+02	ZFP36L1
GO_Biological_Process_2021	skeletal muscle thin filament assembly (GO:0030240)	1/6	1.490828e-02	2.076224e-01	0	0	8.140816e+01	3.423896e+02	ACTC1
GO_Biological_Process_2021	regulation of keratinocyte apoptotic process (GO:1902172)	1/6	1.490828e-02	2.076224e-01	0	0	8.140816e+01	3.423896e+02	ZFP36L1
GO_Biological_Process_2021	negative regulation of cell cycle phase transition (GO:1901988)	1/7	1.737174e-02	2.076224e-01	0	0	6.783673e+01	2.749362e+02	ZFP36L1
GO_Biological_Process_2021	Cdc42 protein signal transduction (GO:0032488)	1/7	1.737174e-02	2.076224e-01	0	0	6.783673e+01	2.749362e+02	RHOU
GO_Biological_Process_2021	maintenance of protein location in extracellular region (GO:0071694)	1/7	1.737174e-02	2.076224e-01	0	0	6.783673e+01	2.749362e+02	FBN2
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, deadenylation-independent decay (GO:0031086)	1/7	1.737174e-02	2.076224e-01	0	0	6.783673e+01	2.749362e+02	ZFP36L1
GO_Biological_Process_2021	regulation of cell cycle G2/M phase transition (GO:1902749)	2/85	1.916275e-02	2.076224e-01	0	0	9.973394e+00	3.944264e+01	CSNK1E;HAUS2
GO_Biological_Process_2021	fusion of virus membrane with host plasma membrane (GO:0019064)	1/8	1.982916e-02	2.076224e-01	0	0	5.814286e+01	2.279550e+02	CXCR4
GO_Biological_Process_2021	skeletal myofibril assembly (GO:0014866)	1/8	1.982916e-02	2.076224e-01	0	0	5.814286e+01	2.279550e+02	ACTC1
GO_Biological_Process_2021	positive regulation of oligodendrocyte differentiation (GO:0048714)	1/8	1.982916e-02	2.076224e-01	0	0	5.814286e+01	2.279550e+02	CXCR4
GO_Biological_Process_2021	store-operated calcium entry (GO:0002115)	1/8	1.982916e-02	2.076224e-01	0	0	5.814286e+01	2.279550e+02	STIM2
GO_Biological_Process_2021	membrane fusion involved in viral entry into host cell (GO:0039663)	1/8	1.982916e-02	2.076224e-01	0	0	5.814286e+01	2.279550e+02	CXCR4
GO_Biological_Process_2021	peptidyl-proline hydroxylation to 4-hydroxy-L-proline (GO:0018401)	1/8	1.982916e-02	2.076224e-01	0	0	5.814286e+01	2.279550e+02	P4HA1
GO_Biological_Process_2021	actin-mediated cell contraction (GO:0070252)	1/9	2.228056e-02	2.076224e-01	0	0	5.087245e+01	1.935209e+02	ACTC1
GO_Biological_Process_2021	inositol metabolic process (GO:0006020)	1/9	2.228056e-02	2.076224e-01	0	0	5.087245e+01	1.935209e+02	ISYNA1
GO_Biological_Process_2021	regulation of ER to Golgi vesicle-mediated transport (GO:0060628)	1/9	2.228056e-02	2.076224e-01	0	0	5.087245e+01	1.935209e+02	SCFD1
GO_Biological_Process_2021	regulation of glucan biosynthetic process (GO:0010962)	1/9	2.228056e-02	2.076224e-01	0	0	5.087245e+01	1.935209e+02	PPP1R3C
GO_Biological_Process_2021	regulation of intracellular signal transduction (GO:1902531)	4/437	2.349478e-02	2.076224e-01	0	0	3.919470e+00	1.470184e+01	SYDE2;TMBIM4;RHOU;CRK
GO_Biological_Process_2021	ciliary basal body-plasma membrane docking (GO:0097711)	2/95	2.359165e-02	2.076224e-01	0	0	8.896505e+00	3.333398e+01	CSNK1E;HAUS2
GO_Biological_Process_2021	positive regulation of behavior (GO:0048520)	1/10	2.472595e-02	2.076224e-01	0	0	4.521769e+01	1.673010e+02	NPAS2
GO_Biological_Process_2021	regulation of epithelial cell apoptotic process (GO:1904035)	1/10	2.472595e-02	2.076224e-01	0	0	4.521769e+01	1.673010e+02	ZFP36L1
GO_Biological_Process_2021	positive regulation of monocyte differentiation (GO:0045657)	1/10	2.472595e-02	2.076224e-01	0	0	4.521769e+01	1.673010e+02	ZFP36L1
GO_Biological_Process_2021	negative regulation of voltage-gated calcium channel activity (GO:1901386)	1/10	2.472595e-02	2.076224e-01	0	0	4.521769e+01	1.673010e+02	CRHR1
GO_Biological_Process_2021	myelin maintenance (GO:0043217)	1/10	2.472595e-02	2.076224e-01	0	0	4.521769e+01	1.673010e+02	CXCR4
GO_Biological_Process_2021	protein insertion into ER membrane by stop-transfer membrane-anchor sequence (GO:0045050)	1/10	2.472595e-02	2.076224e-01	0	0	4.521769e+01	1.673010e+02	MMGT1
GO_Biological_Process_2021	regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	2/100	2.594896e-02	2.076224e-01	0	0	8.440476e+00	3.082144e+01	LEMD3;RNF111
GO_Biological_Process_2021	regulation of cell death (GO:0010941)	2/102	2.691773e-02	2.076224e-01	0	0	8.270833e+00	2.989882e+01	HP;NPAS2
GO_Biological_Process_2021	cellular glucan metabolic process (GO:0006073)	1/11	2.716534e-02	2.076224e-01	0	0	4.069388e+01	1.467345e+02	PPP1R3C
GO_Biological_Process_2021	positive regulation of non-canonical Wnt signaling pathway (GO:2000052)	1/11	2.716534e-02	2.076224e-01	0	0	4.069388e+01	1.467345e+02	CSNK1E
GO_Biological_Process_2021	cellular response to UV-A (GO:0071492)	1/11	2.716534e-02	2.076224e-01	0	0	4.069388e+01	1.467345e+02	OPN1SW
GO_Biological_Process_2021	regulation of mRNA 3'-end processing (GO:0031440)	1/11	2.716534e-02	2.076224e-01	0	0	4.069388e+01	1.467345e+02	ZFP36L1
GO_Biological_Process_2021	peptidyl-proline hydroxylation (GO:0019511)	1/11	2.716534e-02	2.076224e-01	0	0	4.069388e+01	1.467345e+02	P4HA1
GO_Biological_Process_2021	embryonic eye morphogenesis (GO:0048048)	1/11	2.716534e-02	2.076224e-01	0	0	4.069388e+01	1.467345e+02	FBN2
GO_Biological_Process_2021	negative regulation of activin receptor signaling pathway (GO:0032926)	1/11	2.716534e-02	2.076224e-01	0	0	4.069388e+01	1.467345e+02	LEMD3
GO_Biological_Process_2021	cellular response to peptide hormone stimulus (GO:0071375)	2/106	2.889865e-02	2.076224e-01	0	0	7.951122e+00	2.817846e+01	CRHR1;ZFP36L1
GO_Biological_Process_2021	protein mono-ADP-ribosylation (GO:0140289)	1/12	2.959876e-02	2.076224e-01	0	0	3.699258e+01	1.302147e+02	TIPARP
GO_Biological_Process_2021	negative regulation of oxidoreductase activity (GO:0051354)	1/12	2.959876e-02	2.076224e-01	0	0	3.699258e+01	1.302147e+02	HP
GO_Biological_Process_2021	regulation of glycogen metabolic process (GO:0070873)	1/12	2.959876e-02	2.076224e-01	0	0	3.699258e+01	1.302147e+02	PPP1R3C
GO_Biological_Process_2021	magnesium ion transport (GO:0015693)	1/12	2.959876e-02	2.076224e-01	0	0	3.699258e+01	1.302147e+02	MMGT1
GO_Biological_Process_2021	protein auto-ADP-ribosylation (GO:0070213)	1/12	2.959876e-02	2.076224e-01	0	0	3.699258e+01	1.302147e+02	TIPARP
GO_Biological_Process_2021	cellular divalent inorganic cation homeostasis (GO:0072503)	2/111	3.145448e-02	2.076224e-01	0	0	7.584480e+00	2.623634e+01	STIM2;MT1F
GO_Biological_Process_2021	negative regulation of autophagosome assembly (GO:1902902)	1/13	3.202621e-02	2.076224e-01	0	0	3.390816e+01	1.166848e+02	SCFD1
GO_Biological_Process_2021	glucan biosynthetic process (GO:0009250)	1/13	3.202621e-02	2.076224e-01	0	0	3.390816e+01	1.166848e+02	PPP1R3C
GO_Biological_Process_2021	glycogen biosynthetic process (GO:0005978)	1/13	3.202621e-02	2.076224e-01	0	0	3.390816e+01	1.166848e+02	PPP1R3C
