Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	5/482	0.0069168190120408	0.2076223935395611	0	0	4.535988819007687	22.5610979918269	IFITM2;CXCR4;RHOU;CRK;ZFP36L1
GO_Biological_Process_2021	cellular response to peptide (GO:1901653)	2/57	0.0089551608364968	0.2076223935395611	0	0	15.071969696969695	71.07225417227201	ITGA4;ZFP36L1
GO_Biological_Process_2021	regulation of mitotic cell cycle phase transition (GO:1901990)	3/188	0.0115892041162952	0.2076223935395611	0	0	6.81943645773433	30.398874332245907	CSNK1E;HAUS2;ZFP36L1
GO_Biological_Process_2021	negative regulation of hydrogen peroxide metabolic process (GO:0010727)	1/5	0.0124387771927725	0.2076223935395611	0	0	101.76530612244898	446.4379351400606	HP
GO_Biological_Process_2021	response to salt stress (GO:0009651)	1/5	0.0124387771927725	0.2076223935395611	0	0	101.76530612244898	446.4379351400606	ZFP36L1
GO_Biological_Process_2021	cell-cell adhesion mediated by integrin (GO:0033631)	1/5	0.0124387771927725	0.2076223935395611	0	0	101.76530612244898	446.4379351400606	ITGA4
GO_Biological_Process_2021	cellular response to salt stress (GO:0071472)	1/5	0.0124387771927725	0.2076223935395611	0	0	101.76530612244898	446.4379351400606	ZFP36L1
GO_Biological_Process_2021	chemokine (C-X-C motif) ligand 12 signaling pathway (GO:0038146)	1/5	0.0124387771927725	0.2076223935395611	0	0	101.76530612244898	446.4379351400606	CXCR4
GO_Biological_Process_2021	positive regulation of store-operated calcium channel activity (GO:1901341)	1/5	0.0124387771927725	0.2076223935395611	0	0	101.76530612244898	446.4379351400606	STIM2
GO_Biological_Process_2021	ubiquitin-dependent SMAD protein catabolic process (GO:0030579)	1/5	0.0124387771927725	0.2076223935395611	0	0	101.76530612244898	446.4379351400606	RNF111
GO_Biological_Process_2021	p38MAPK cascade (GO:0038066)	1/5	0.0124387771927725	0.2076223935395611	0	0	101.76530612244898	446.4379351400606	ZFP36L1
GO_Biological_Process_2021	negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)	2/68	0.0125608922452035	0.2076223935395611	0	0	12.553030303030305	54.94671101969335	FBN2;LEMD3
GO_Biological_Process_2021	negative regulation of protein binding (GO:0032091)	2/74	0.0147525184670075	0.2076223935395611	0	0	11.50347222222222	48.50256694786101	ITGA4;CSNK1E
GO_Biological_Process_2021	negative regulation of erythrocyte differentiation (GO:0045647)	1/6	0.0149082847993736	0.2076223935395611	0	0	81.40816326530613	342.3895623444841	ZFP36L1
GO_Biological_Process_2021	skeletal muscle thin filament assembly (GO:0030240)	1/6	0.0149082847993736	0.2076223935395611	0	0	81.40816326530613	342.3895623444841	ACTC1
GO_Biological_Process_2021	regulation of keratinocyte apoptotic process (GO:1902172)	1/6	0.0149082847993736	0.2076223935395611	0	0	81.40816326530613	342.3895623444841	ZFP36L1
GO_Biological_Process_2021	negative regulation of cell cycle phase transition (GO:1901988)	1/7	0.0173717414502839	0.2076223935395611	0	0	67.83673469387755	274.9362107684438	ZFP36L1
GO_Biological_Process_2021	Cdc42 protein signal transduction (GO:0032488)	1/7	0.0173717414502839	0.2076223935395611	0	0	67.83673469387755	274.9362107684438	RHOU
GO_Biological_Process_2021	maintenance of protein location in extracellular region (GO:0071694)	1/7	0.0173717414502839	0.2076223935395611	0	0	67.83673469387755	274.9362107684438	FBN2
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, deadenylation-independent decay (GO:0031086)	1/7	0.0173717414502839	0.2076223935395611	0	0	67.83673469387755	274.9362107684438	ZFP36L1
GO_Biological_Process_2021	regulation of cell cycle G2/M phase transition (GO:1902749)	2/85	0.0191627543313976	0.2076223935395611	0	0	9.973393574297187	39.44264488506008	CSNK1E;HAUS2
GO_Biological_Process_2021	fusion of virus membrane with host plasma membrane (GO:0019064)	1/8	0.0198291614511851	0.2076223935395611	0	0	58.142857142857146	227.9549801512961	CXCR4
GO_Biological_Process_2021	skeletal myofibril assembly (GO:0014866)	1/8	0.0198291614511851	0.2076223935395611	0	0	58.142857142857146	227.9549801512961	ACTC1
GO_Biological_Process_2021	positive regulation of oligodendrocyte differentiation (GO:0048714)	1/8	0.0198291614511851	0.2076223935395611	0	0	58.142857142857146	227.9549801512961	CXCR4
GO_Biological_Process_2021	store-operated calcium entry (GO:0002115)	1/8	0.0198291614511851	0.2076223935395611	0	0	58.142857142857146	227.9549801512961	STIM2
GO_Biological_Process_2021	membrane fusion involved in viral entry into host cell (GO:0039663)	1/8	0.0198291614511851	0.2076223935395611	0	0	58.142857142857146	227.9549801512961	CXCR4
GO_Biological_Process_2021	peptidyl-proline hydroxylation to 4-hydroxy-L-proline (GO:0018401)	1/8	0.0198291614511851	0.2076223935395611	0	0	58.142857142857146	227.9549801512961	P4HA1
GO_Biological_Process_2021	actin-mediated cell contraction (GO:0070252)	1/9	0.0222805591236868	0.2076223935395611	0	0	50.87244897959184	193.52086993316271	ACTC1
GO_Biological_Process_2021	inositol metabolic process (GO:0006020)	1/9	0.0222805591236868	0.2076223935395611	0	0	50.87244897959184	193.52086993316271	ISYNA1
