Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Circadian rhythm	2/31	0.0027192556482504	0.2501715196390401	0	0	28.62212643678161	169.08226656127547	CSNK1E;NPAS2
KEGG_2021_Human	Intestinal immune network for IgA production	2/48	0.0064203200925442	0.2953347242570366	0	0	18.02898550724637	91.01549863791358	ITGA4;CXCR4
KEGG_2021_Human	Chronic myeloid leukemia	2/76	0.0155171628224907	0.3688532152264547	0	0	11.19144144144144	46.62140287744705	GADD45B;CRK
KEGG_2021_Human	Regulation of actin cytoskeleton	3/218	0.0171914512285243	0.3688532152264547	0	0	5.858980702622464	23.807048461348653	ITGA4;CXCR4;CRK
KEGG_2021_Human	Hypertrophic cardiomyopathy	2/90	0.0213286953840061	0.3688532152264547	0	0	9.40435606060606	36.18515879365064	ACTC1;ITGA4
KEGG_2021_Human	Dilated cardiomyopathy	2/96	0.0240556444712905	0.3688532152264547	0	0	8.801418439716311	32.80628046281635	ACTC1;ITGA4
KEGG_2021_Human	Leukocyte transendothelial migration	2/114	0.0330295301793541	0.4121468196680382	0	0	7.380208333333333	25.169117576656426	ITGA4;CXCR4
KEGG_2021_Human	FoxO signaling pathway	2/131	0.0425157677463691	0.4121468196680382	0	0	6.4021317829457365	20.217165618082923	GADD45B;CSNK1E
KEGG_2021_Human	Insulin signaling pathway	2/137	0.0460802533373535	0.4121468196680382	0	0	6.1157407407407405	18.820401760879264	PPP1R3C;CRK
KEGG_2021_Human	Yersinia infection	2/137	0.0460802533373535	0.4121468196680382	0	0	6.1157407407407405	18.820401760879264	ITGA4;CRK
KEGG_2021_Human	Cellular senescence	2/156	0.058052477548913	0.4121468196680382	0	0	5.356060606060606	15.245533180091437	GADD45B;ZFP36L1
KEGG_2021_Human	Chemokine signaling pathway	2/192	0.0832523822519886	0.4121468196680382	0	0	4.333333333333333	10.772140317863167	CXCR4;CRK
KEGG_2021_Human	Thyroid cancer	1/37	0.0885322278902676	0.4121468196680382	0	0	11.289115646258503	27.36920368672352	GADD45B
KEGG_2021_Human	Focal adhesion	2/201	0.0899990393946084	0.4121468196680382	0	0	4.135469011725293	9.958028586222367	ITGA4;CRK
KEGG_2021_Human	Human immunodeficiency virus 1 infection	2/212	0.0984576089228105	0.4121468196680382	0	0	3.9166666666666665	9.079339326341122	CXCR4;CRK
KEGG_2021_Human	Human cytomegalovirus infection	2/225	0.108732282094746	0.4121468196680382	0	0	3.685911808669656	8.178546402117632	CXCR4;CRK
KEGG_2021_Human	Pathways of neurodegeneration	3/475	0.1154626576113637	0.4121468196680382	0	0	2.6340605842048324	5.686431356735092	NDUFS5;CSNK1E;PRPH
KEGG_2021_Human	Cocaine addiction	1/49	0.1155599990222406	0.4121468196680382	0	0	8.46173469387755	18.26013079359792	FOSB
KEGG_2021_Human	Arginine and proline metabolism	1/50	0.1177765260040411	0.4121468196680382	0	0	8.28862973760933	17.7290996615035	P4HA1
KEGG_2021_Human	Calcium signaling pathway	2/240	0.1209266562339864	0.4121468196680382	0	0	3.450980392156863	7.290441318878535	STIM2;CXCR4
KEGG_2021_Human	Hedgehog signaling pathway	1/56	0.1309618198144747	0.4121468196680382	0	0	7.382189239332097	15.00687933540933	CSNK1E
KEGG_2021_Human	Endometrial cancer	1/58	0.1353138517398134	0.4121468196680382	0	0	7.122448979591836	14.246025949065045	GADD45B
KEGG_2021_Human	Long-term depression	1/60	0.1396445230534406	0.4121468196680382	0	0	6.88031822898651	13.544974303558986	CRHR1
KEGG_2021_Human	Mineral absorption	1/60	0.1396445230534406	0.4121468196680382	0	0	6.88031822898651	13.544974303558986	MT1F
KEGG_2021_Human	Basal cell carcinoma	1/63	0.1461007034145454	0.4121468196680382	0	0	6.54641211323239	12.591756250239603	GADD45B
KEGG_2021_Human	Pathways in cancer	3/531	0.1469141065706296	0.4121468196680382	0	0	2.347920696324952	4.503093942820027	GADD45B;CXCR4;CRK
KEGG_2021_Human	Amphetamine addiction	1/69	0.158870948881139	0.4121468196680382	0	0	5.966986794717887	10.977245117600177	FOSB
KEGG_2021_Human	Renal cell carcinoma	1/69	0.158870948881139	0.4121468196680382	0	0	5.966986794717887	10.977245117600177	CRK
KEGG_2021_Human	Melanoma	1/72	0.1651856959101235	0.4121468196680382	0	0	5.713998275366484	10.28911103101624	GADD45B
KEGG_2021_Human	Non-small cell lung cancer	1/72	0.1651856959101235	0.4121468196680382	0	0	5.713998275366484	10.28911103101624	GADD45B
KEGG_2021_Human	MAPK signaling pathway	2/294	0.1672303490892528	0.4121468196680382	0	0	2.805079908675799	5.016557449841448	GADD45B;CRK
KEGG_2021_Human	Inositol phosphate metabolism	1/73	0.1672802691231711	0.4121468196680382	0	0	5.634353741496598	10.074701240888364	ISYNA1
KEGG_2021_Human	p53 signaling pathway	1/73	0.1672802691231711	0.4121468196680382	0	0	5.634353741496598	10.074701240888364	GADD45B
KEGG_2021_Human	Glioma	1/75	0.1714539764404576	0.4121468196680382	0	0	5.4815223386651954	9.666337985731484	GADD45B
KEGG_2021_Human	Pancreatic cancer	1/76	0.1735331353639065	0.4121468196680382	0	0	5.408163265306122	9.4717853003048	GADD45B
KEGG_2021_Human	Leishmaniasis	1/77	0.1756071809118701	0.4121468196680382	0	0	5.336734693877551	9.283280446293812	ITGA4
KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	1/77	0.1756071809118701	0.4121468196680382	0	0	5.336734693877551	9.283280446293812	ITGA4
KEGG_2021_Human	Bacterial invasion of epithelial cells	1/77	0.1756071809118701	0.4121468196680382	0	0	5.336734693877551	9.283280446293812	CRK
KEGG_2021_Human	ErbB signaling pathway	1/85	0.1920169366451308	0.4121468196680382	0	0	4.826530612244898	7.964604221414354	CRK
KEGG_2021_Human	Colorectal cancer	1/86	0.1940455128548384	0.4121468196680382	0	0	4.769507803121249	7.820383303288144	GADD45B
KEGG_2021_Human	Cardiac muscle contraction	1/87	0.196069097589664	0.4121468196680382	0	0	4.713811105837684	7.6801565438185	ACTC1
KEGG_2021_Human	ECM-receptor interaction	1/88	0.1980877029036425	0.4121468196680382	0	0	4.659394792399718	7.5437717166037235	ITGA4
KEGG_2021_Human	Human papillomavirus infection	2/331	0.2005051715318368	0.4121468196680382	0	0	2.4849290780141846	3.993070404269077	ITGA4;HES4
KEGG_2021_Human	Small cell lung cancer	1/92	0.2061125694363157	0.4121468196680382	0	0	4.453689167974883	7.03385741012878	GADD45B
KEGG_2021_Human	IL-17 signaling pathway	1/94	0.2100954368002021	0.4121468196680382	0	0	4.357472021066491	6.79849904676328	FOSB
KEGG_2021_Human	Staphylococcus aureus infection	1/95	0.2120795205832498	0.4121468196680382	0	0	4.310898827616153	6.685315939697291	KRT40
KEGG_2021_Human	Fc gamma R-mediated phagocytosis	1/97	0.2160330472811356	0.4121468196680382	0	0	4.220663265306122	6.46742313757927	CRK
KEGG_2021_Human	Hematopoietic cell lineage	1/99	0.2199671313012003	0.4121468196680382	0	0	4.134110787172012	6.26018948804807	ITGA4
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	1/100	0.2219269115603851	0.4121468196680382	0	0	4.092145949288806	6.1603458876211565	CXCR4
KEGG_2021_Human	NF-kappa B signaling pathway	1/104	0.2297178930745814	0.4121468196680382	0	0	3.932435109966317	5.78423168094792	GADD45B
KEGG_2021_Human	Amyotrophic lateral sclerosis	2/364	0.2308123535024988	0.4121468196680382	0	0	2.2546040515653774	3.3055882286347837	NDUFS5;PRPH
KEGG_2021_Human	Alzheimer disease	2/369	0.2354374823833979	0.4121468196680382	0	0	2.223319709355132	3.215609236148146	NDUFS5;CSNK1E
KEGG_2021_Human	Insulin resistance	1/108	0.2374324069826741	0.4121468196680382	0	0	3.7846652679763495	5.441865346754643	PPP1R3C
KEGG_2021_Human	Neurotrophin signaling pathway	1/119	0.2582590130323782	0.4239836141030693	0	0	3.429955032860602	4.643446613966543	CRK
KEGG_2021_Human	Growth hormone synthesis, secretion and action	1/119	0.2582590130323782	0.4239836141030693	0	0	3.429955032860602	4.643446613966543	CRK
KEGG_2021_Human	AMPK signaling pathway	1/120	0.2601244621662815	0.4239836141030693	0	0	3.4009603841536613	4.579716458908873	STRADA
KEGG_2021_Human	Cell cycle	1/124	0.2675403902734135	0.4239836141030693	0	0	3.2896963663514187	4.337414433160371	GADD45B
KEGG_2021_Human	Osteoclast differentiation	1/127	0.2730544838638846	0.4239836141030693	0	0	3.2108843537414966	4.167997377843627	FOSB
KEGG_2021_Human	Oxidative phosphorylation	1/133	0.2839609038772722	0.4239836141030693	0	0	3.0640074211502784	3.857336278341556	NDUFS5
KEGG_2021_Human	Estrogen signaling pathway	1/137	0.2911425929329805	0.4239836141030693	0	0	2.9732893157262907	3.668866926816198	KRT40
KEGG_2021_Human	Apoptosis	1/142	0.3000204969826995	0.4239836141030693	0	0	2.8671298306556667	3.4517504575709377	GADD45B
KEGG_2021_Human	Breast cancer	1/147	0.3087894082520855	0.4239836141030693	0	0	2.7682415431926195	3.252948903166252	GADD45B
KEGG_2021_Human	Cell adhesion molecules	1/148	0.3105302270346101	0.4239836141030693	0	0	2.749271137026239	3.215201203875706	ITGA4
KEGG_2021_Human	Retrograde endocannabinoid signaling	1/148	0.3105302270346101	0.4239836141030693	0	0	2.749271137026239	3.215201203875706	NDUFS5
KEGG_2021_Human	Gastric cancer	1/149	0.3122667490151626	0.4239836141030693	0	0	2.7305570876999448	3.1780885451938787	GADD45B
KEGG_2021_Human	Adrenergic signaling in cardiomyocytes	1/150	0.3139989845586295	0.4239836141030693	0	0	2.712094233666621	3.141596466170354	ACTC1
KEGG_2021_Human	Spliceosome	1/150	0.3139989845586295	0.4239836141030693	0	0	2.712094233666621	3.141596466170354	PRPF38A
KEGG_2021_Human	mTOR signaling pathway	1/154	0.3208852696222714	0.4239836141030693	0	0	2.640656262505002	3.0015590720273457	STRADA
KEGG_2021_Human	Non-alcoholic fatty liver disease	1/155	0.3225962281219006	0.4239836141030693	0	0	2.623376623376624	2.9679671260643183	NDUFS5
KEGG_2021_Human	Cushing syndrome	1/155	0.3225962281219006	0.4239836141030693	0	0	2.623376623376624	2.9679671260643183	CRHR1
KEGG_2021_Human	Ribosome	1/158	0.3277037968552589	0.4246302719814622	0	0	2.572858442740153	2.8703970097526006	RPS4Y1
KEGG_2021_Human	Hippo signaling pathway	1/163	0.3361326660872764	0.4282450142497408	0	0	2.492819349962207	2.717794694415788	CSNK1E
KEGG_2021_Human	Wnt signaling pathway	1/166	0.3411401847271476	0.4282450142497408	0	0	2.4471243042671613	2.6317886779390967	CSNK1E
KEGG_2021_Human	Hepatocellular carcinoma	1/168	0.3444579462443567	0.4282450142497408	0	0	2.4175730172308443	2.576608870544724	GADD45B
KEGG_2021_Human	Axon guidance	1/182	0.367228198764465	0.4504665904844104	0	0	2.2289998872477166	2.2329492942532405	CXCR4
KEGG_2021_Human	Alcoholism	1/186	0.3735903703808139	0.4522409746715115	0	0	2.1803640375068944	2.146776288649915	FOSB
KEGG_2021_Human	Transcriptional misregulation in cancer	1/192	0.3830162518398707	0.4576298073930923	0	0	2.111229832247035	2.02610052252205	GADD45B
KEGG_2021_Human	Epstein-Barr virus infection	1/202	0.398418067592006	0.4657498422524864	0	0	2.0051781906792567	1.8452720554356248	GADD45B
KEGG_2021_Human	Diabetic cardiomyopathy	1/203	0.3999373645428959	0.4657498422524864	0	0	1.9951505354617092	1.8284503867148747	NDUFS5
KEGG_2021_Human	Rap1 signaling pathway	1/210	0.4104676598078821	0.4720378087790644	0	0	1.927643784786642	1.716486090768287	CRK
KEGG_2021_Human	Thermogenesis	1/232	0.4423976147030889	0.4963485433254169	0	0	1.7421150278293136	1.420775326637273	NDUFS5
KEGG_2021_Human	Coronavirus disease	1/232	0.4423976147030889	0.4963485433254169	0	0	1.7421150278293136	1.420775326637273	RPS4Y1
KEGG_2021_Human	Shigellosis	1/246	0.4618276248188864	0.5086519812958694	0	0	1.641399416909621	1.2680853834334544	CRK
KEGG_2021_Human	Parkinson disease	1/249	0.4659040445720373	0.5086519812958694	0	0	1.6212969058591178	1.23830698299537	NDUFS5
KEGG_2021_Human	Endocytosis	1/252	0.4699502001103142	0.5086519812958694	0	0	1.6016749329213755	1.2094704650298027	CXCR4
KEGG_2021_Human	Prion disease	1/273	0.4974441859988057	0.5321495943243038	0	0	1.4764405762304922	1.0309569924227395	NDUFS5
KEGG_2021_Human	Cytokine-cytokine receptor interaction	1/295	0.5247480242056516	0.5549059566312637	0	0	1.3644314868804666	0.8798360233634043	CXCR4
KEGG_2021_Human	Huntington disease	1/306	0.5378493420766995	0.5608125206636072	0	0	1.314486450317832	0.8152139890333826	NDUFS5
KEGG_2021_Human	MicroRNAs in cancer	1/310	0.5425251558593591	0.5608125206636072	0	0	1.2972062611452349	0.7932686422257892	CRK
KEGG_2021_Human	Neuroactive ligand-receptor interaction	1/341	0.5772243543740008	0.5900515622489785	0	0	1.1770708283313325	0.6468289747027046	CRHR1
KEGG_2021_Human	PI3K-Akt signaling pathway	1/354	0.5909956578792304	0.5974901156581229	0	0	1.1329710354396716	0.5958822738188654	ITGA4
KEGG_2021_Human	Herpes simplex virus 1 infection	1/498	0.7170049272413213	0.7170049272413213	0	0	0.7987927565392354	0.2657364363252364	ZNF562
